Kod;Nazwa;"gminy bez miast na prawach powiatu;miejsce zamieszkania;stan na 30 VI;ogółem;2019;[osoba]";"miasta na prawach powiatu;miejsce zamieszkania;stan na 30 VI;ogółem;2019;[osoba]"
3201011;Białogard (1);24250;0
3201022;Białogard (2);7554;0
3201033;Karlino (3);9127;0
3201043;Tychowo (3);6766;0
3202012;Bierzwnik (2);4686;0
3202023;Choszczno (3);21691;0
3202033;Drawno (3);5069;0
3202042;Krzęcin (2);3708;0
3202053;Pełczyce (3);7779;0
3202063;Recz (3);5486;0
3203013;Czaplinek (3);11815;0
3203023;Drawsko Pomorskie (3);17270;0
3203033;Kalisz Pomorski (3);7360;0
3203052;Wierzchowo (2);4282;0
3203063;Złocieniec (3);16444;0
3204023;Goleniów (3);36039;0
3204033;Maszewo (3);8777;0
3204043;Nowogard (3);24652;0
3204052;Osina (2);3042;0
3204062;Przybiernów (2);5021;0
3204072;Stepnica (3);4887;0
3205012;Brojce (2);3741;0
3205023;Gryfice (3);23834;0
3205032;Karnice (2);4011;0
3205043;Płoty (3);8868;0
3205072;Rewal (2);3857;0
3205083;Trzebiatów (3);16163;0
3206012;Banie (2);6349;0
3206023;Cedynia (3);4276;0
3206033;Chojna (3);13727;0
3206043;Gryfino (3);31931;0
3206053;Mieszkowice (3);7116;0
3206063;Moryń (3);4295;0
3206072;Stare Czarnowo (2);3823;0
3206083;Trzcińsko-Zdrój (3);5313;0
3206092;Widuchowa (2);5428;0
3207013;Dziwnów (3);3963;0
3207023;Golczewo (3);5876;0
3207033;Kamień Pomorski (3);14374;0
3207043;Międzyzdroje (3);6492;0
3207052;Świerzno (2);4219;0
3207063;Wolin (3);12191;0
3208011;Kołobrzeg (1);46309;0
3208022;Dygowo (2);5632;0
3208033;Gościno (3);5130;0
3208042;Kołobrzeg (2);10968;0
3208052;Rymań (2);3933;0
3208062;Siemyśl (2);3833;0
3208072;Ustronie Morskie (2);3665;0
3209012;Będzino (2);8648;0
3209022;Biesiekierz (2);7043;0
3209033;Bobolice (3);8967;0
3209042;Manowo (2);6909;0
3209052;Mielno (3);4904;0
3209063;Polanów (3);8710;0
3209073;Sianów (3);13806;0
3209082;Świeszyno (2);7386;0
3210013;Barlinek (3);19331;0
3210022;Boleszkowice (2);2864;0
3210033;Dębno (3);20609;0
3210043;Myślibórz (3);19822;0
3210052;Nowogródek Pomorski (2);3373;0
3211012;Dobra (Szczecińska) (2);23840;0
3211022;Kołbaskowo (2);13183;0
3211033;Nowe Warpno (3);1654;0
3211043;Police (3);41290;0
3212012;Bielice (2);3131;0
3212022;Kozielice (2);2511;0
3212033;Lipiany (3);5858;0
3212042;Przelewice (2);5130;0
3212053;Pyrzyce (3);19357;0
3212062;Warnice (2);3495;0
3213011;Darłowo (1);13710;0
3213021;Sławno (1);12511;0
3213032;Darłowo (2);7955;0
3213042;Malechowo (2);6284;0
3213052;Postomino (2);6914;0
3213062;Sławno (2);8857;0
3214011;Stargard (1);67795;0
3214023;Chociwel (3);5874;0
3214033;Dobrzany (3);4838;0
3214042;Dolice (2);7862;0
3214053;Ińsko (3);3350;0
3214062;Kobylanka (2);5614;0
3214082;Marianowo (2);3144;0
3214092;Stara Dąbrowa (2);3707;0
3214102;Stargard (2);13613;0
3214113;Suchań (3);4291;0
3215011;Szczecinek (1);40016;0
3215023;Barwice (3);8565;0
3215033;Biały Bór (3);5273;0
3215043;Borne Sulinowo (3);9950;0
3215052;Grzmiąca (2);4668;0
3215062;Szczecinek (2);9259;0
3216011;Świdwin (1);15533;0
3216022;Brzeżno (2);2783;0
3216033;Połczyn-Zdrój (3);15194;0
3216042;Rąbino (2);3585;0
3216052;Sławoborze (2);4035;0
3216062;Świdwin (2);5867;0
3217011;Wałcz (1);25312;0
3217023;Człopa (3);4945;0
3217033;Mirosławiec (3);5447;0
3217043;Tuczno (3);4956;0
3217052;Wałcz (2);12665;0
3218013;Dobra (3);4383;0
3218023;Łobez (3);13974;0
3218032;Radowo Małe (2);3608;0
3218043;Resko (3);8019;0
3218053;Węgorzyno (3);6970;0
3261011;Koszalin (1);0;107225
3262011;Szczecin (1);0;402067
3263011;Świnoujście (1);0;40883
